graph_id,label
0,"452.8412933054897, 134.55386401654678, 514.9412899521105, -1, -1, -1, -1"
1,"517.4535791438025, 597.9982254234875, 1832.324892064545, -1, -1, -1, -1"
2,"247.2300683056476, 460.6717923077356, 720.9999605552728, -1, -1, -1, -1"
3,"432.9287449794972, 282.33174460110223, 3273.6741909232765, -1, -1, -1, -1"
4,"312.4234488568828, 321.19672639476573, 207.99664120978764, -1, -1, -1, -1"
5,"797.0115990468628, 401.55340030444887, 150.55566825925024, -1, -1, -1, -1"
6,"230.0316643556748, 875.2779035290775, 255.27319628395213, -1, -1, -1, -1"
7,"455.7176824396271, 647.0879129431526, 352.9132602623451, -1, -1, -1, -1"
8,"802.0019870735592, 294.07256524838857, 578.9066233397443, -1, -1, -1, -1"
9,"1344.2049806847704, 578.9213129585127, 496.75801259337004, -1, -1, -1, -1"
10,"286.30939950215486, 253.25803438809425, 3459.7898219871017, -1, -1, -1, -1"
11,"144.9208645365938, 345.9722246831814, 367.9620106885176, -1, -1, -1, -1"
12,"683.5782647320468, 11885.812340010561, 528.4799580979756, -1, -1, -1, -1"
13,"221.51971373282197, 350.4033362435988, 135.69515098531025, -1, -1, -1, -1"
14,"235.5275215187262, 1429.9354173483725, 138.95938537054684, -1, -1, -1, -1"
15,"1991.0813664458035, 418.06235974838404, 506.2647123893558, -1, -1, -1, -1"
16,"150.80857150644826, 197.15371886052705, 128.77983091541222, -1, -1, -1, -1"
17,"1995.43345101909, 683.9422562240511, 757.1164071850255, -1, -1, -1, -1"
18,"1832.9697142888692, 3720.6932134403405, 232.4761702446426, -1, -1, -1, -1"
19,"312.35580258912626, 781.0103819946969, 1201.5921384919607, -1, -1, -1, -1"
20,"2960.74241269081, 131.30706043089904, 797.7047008887487, -1, -1, -1, -1"
21,"892.379664758985, 525.3483003337182, 580.9481415979033, -1, -1, -1, -1"
22,"1280.5911138089405, 676.9178557136628, 1523.8769028755453, -1, -1, -1, -1"
23,"1343.5354884589672, 1794.044825580079, 280.6320559775088, -1, -1, -1, -1"
24,"2470.8439394760244, 250.80041764679987, 453.27409021466826, -1, -1, -1, -1"
25,"208.77341672542838, 1579.6012736484247, 403.89864783786504, -1, -1, -1, -1"
26,"784.9257970878465, 795.1150752539147, 167.83242549549965, -1, -1, -1, -1"
27,"491.332185916826, 3538.1542068512554, 69.91648886422274, -1, -1, -1, -1"
28,"929.5266415104392, 1562.5359501654038, 356.56984340268315, -1, -1, -1, -1"
29,"2876.695328735719, 1047.4146244123276, 1271.210177753185, -1, -1, -1, -1"
30,"140.72576390165264, 784.935286125868, 289.4432647718637, -1, -1, -1, -1"
31,"1046.89537532245, 112.3029693003403, 1376.9189299422603, -1, -1, -1, -1"
32,"108.01748221349345, 606.8411267881263, 277.8031895458969, -1, -1, -1, -1"
33,"248.89224089906074, 3198.9365449438483, 441.4242178709013, -1, -1, -1, -1"
34,"390.9454543701764, 819.9274493342193, 230.65961293444886, -1, -1, -1, -1"
35,"333.61508645658216, 218.5738745049115, 178.62569797954387, -1, -1, -1, -1"
36,"1179.7692184117504, 693.3824234001497, 207.87325602245568, -1, -1, -1, -1"
37,"5285.619370888125, 297.6999376439368, 1312.1377328554863, -1, -1, -1, -1"
38,"284.3815221968847, 2577.0168794912743, 381.7003144484265, -1, -1, -1, -1"
39,"1347.8383073772295, 4135.879497694645, 179.27197146735864, -1, -1, -1, -1"
40,"742.9481366656659, 787.010209867686, 1719.9326353339159, -1, -1, -1, -1"
41,"1876.3942420300318, 568.4448331293454, 534.4734478921426, -1, -1, -1, -1"
42,"1527.9881291909655, 225.30353782194248, 718.5859773919274, -1, -1, -1, -1"
43,"198.82571782813406, 449.0354323796118, 454.62190513989685, -1, -1, -1, -1"
44,"127.30717467775816, 509.8297209585549, 267.7507067413526, -1, -1, -1, -1"
45,"846.4023879087905, 747.7946239678538, 1178.3903142632603, -1, -1, -1, -1"
46,"7636.063780031582, 780.7164128862408, 2835.099189877246, -1, -1, -1, -1"
47,"441.03649763061753, 898.7595417087151, 70.08982465460738, -1, -1, -1, -1"
48,"615.5503190412452, 171.30729071641906, 161.1479231978755, -1, -1, -1, -1"
49,"1609.2163548705603, 216.17973534373834, 187.61545427812936, -1, -1, -1, -1"
50,"200.8238074457024, 394.9445679359698, 6532.011724319119, -1, -1, -1, -1"
51,"4263.471145188801, 283.3459583582788, 4273.468095775497, -1, -1, -1, -1"
52,"193.7216082634581, 1141.7585364120946, 210.31274164367738, -1, -1, -1, -1"
53,"1044.079348480857, 235.25718008255967, 848.4180450172261, -1, -1, -1, -1"
54,"2212.8992994421633, 1270.7051592524563, 1140.1508779869605, -1, -1, -1, -1"
55,"691.1006386808037, 127.24126487239246, 208.85522211680612, -1, -1, -1, -1"
56,"1500.6465363108186, 41.609313706029695, 438.0067686727938, -1, -1, -1, -1"
