graph_id,label
0,"811.8510366913181, 1727.7076965725096, 146.32978911664503, -1, -1, -1, -1"
1,"418.38566815292336, 481.8798225167939, 838.725762155508, -1, -1, -1, -1"
2,"501.0905741581971, 172.03607395634, 369.3349441453628, -1, -1, -1, -1"
3,"305.49141503026044, 645.699385405528, 220.815127957503, -1, -1, -1, -1"
4,"2734.1110250708634, 282.21453025436625, 5508.040963565544, -1, -1, -1, -1"
5,"852.3083227651033, 163.31014279896246, 1687.1874633083812, -1, -1, -1, -1"
6,"325.1738379719862, 264.87932233337244, 120.58219824363505, -1, -1, -1, -1"
7,"1320.484913224301, 878.8985442701083, 255.0660235405433, -1, -1, -1, -1"
8,"318.9193808183821, 1683.6526961478476, 59.19404869633451, -1, -1, -1, -1"
9,"2503.795614690117, 879.1642232333312, 280.54191656128603, -1, -1, -1, -1"
10,"498.10252887431545, 66.05516500646671, 1848.9043730228736, -1, -1, -1, -1"
11,"437.85584041652953, 440.2910234810927, 283.49917824696445, -1, -1, -1, -1"
12,"2250.1820015909193, 96.9905512006266, 112.05532738503385, -1, -1, -1, -1"
13,"337.57265578151095, 514.9557039000001, 488.3144337050422, -1, -1, -1, -1"
14,"834.5063588902979, 299.24876668128985, 1499.977467724078, -1, -1, -1, -1"
15,"617.022139365903, 456.7798105625641, 287.3167847898665, -1, -1, -1, -1"
16,"542.3436388176599, 272.77143202906154, 44.14436912857616, -1, -1, -1, -1"
17,"1370.9066501695204, 759.8314966944923, 1043.555988781874, -1, -1, -1, -1"
18,"992.3988585552388, 409.6144846972026, 1980.4815717484398, -1, -1, -1, -1"
19,"326.7404635335244, 1277.9768428939913, 285.65313117750713, -1, -1, -1, -1"
20,"792.3014452199768, 296.4821457241283, 1216.1586153428264, -1, -1, -1, -1"
21,"1625.4613961708912, 190.2918677662671, 316.17213439916014, -1, -1, -1, -1"
22,"816.9635945639207, 681.6810696867168, 164.19628129856872, -1, -1, -1, -1"
23,"275.397462266286, 134.88391055790538, 1312.9846399511118, -1, -1, -1, -1"
24,"1612.7049347381753, 6089.809690437019, 1641.9727413243286, -1, -1, -1, -1"
25,"862.1989038435362, 533.8686096783326, 192.9197242146937, -1, -1, -1, -1"
26,"920.863278852072, 367.3832716876626, 1028.7573203217435, -1, -1, -1, -1"
27,"1168.8475298580613, 470.672346407933, 1173.1218478980886, -1, -1, -1, -1"
28,"187.0329379911002, 541.9474044342194, 432.4628210503267, -1, -1, -1, -1"
29,"390.0337942019433, 911.4284508254458, 5811.5734442710545, -1, -1, -1, -1"
30,"432.6068366515723, 536.9232490763546, 164.44690348744734, -1, -1, -1, -1"
31,"1144.135572480174, 212.2122206239404, 231.86284834278325, -1, -1, -1, -1"
32,"552.4191531442631, 364.5615416116461, 3961.499191825639, -1, -1, -1, -1"
33,"478.9896127542395, 1391.969195761777, 746.7326534318014, -1, -1, -1, -1"
