graph_id,node_id,label,feat
0,0,-1,"1,0.65,0.8666666666666667"
0,1,-1,"1,0.45,0.6666666666666666"
0,2,-1,"1,0.3,0.4666666666666667"
0,3,-1,"1,0.35,0.4"
0,4,-1,"1,0.15,0.6666666666666666"
0,5,-1,"1,0.0,0.2"
0,6,-1,"1,0.5,0.13333333333333333"
0,7,-1,"1,0.65,0.8"
0,8,-1,"1,0.05,0.7333333333333333"
0,9,-1,"1,0.85,0.9333333333333333"
0,10,0,"0,0.8888888888888888,0.9178272980501393"
0,11,1,"0,0.3333333333333333,0.8816155988857939"
0,12,2,"0,0.7777777777777778,0.04596100278551532"
1,13,-1,"1,0.65,0.5333333333333333"
1,14,-1,"1,0.0,0.7333333333333333"
1,15,-1,"1,0.4,0.9333333333333333"
1,16,-1,"1,0.0,0.0"
1,17,-1,"1,0.45,0.6"
1,18,-1,"1,0.25,1.0"
1,19,-1,"1,0.0,0.8666666666666667"
1,20,-1,"1,0.95,0.0"
1,21,-1,"1,1.0,0.26666666666666666"
1,22,-1,"1,0.7,0.9333333333333333"
1,23,0,"0,0.7777777777777778,0.4937325905292479"
1,24,1,"0,0.3333333333333333,0.19220055710306408"
1,25,2,"0,0.2222222222222222,0.3593314763231198"
2,26,-1,"1,0.75,0.0"
2,27,-1,"1,0.55,0.8"
2,28,-1,"1,0.9,0.26666666666666666"
2,29,-1,"1,0.35,0.0"
2,30,-1,"1,0.15,0.4666666666666667"
2,31,-1,"1,0.45,0.7333333333333333"
2,32,-1,"1,0.55,0.13333333333333333"
2,33,-1,"1,0.65,0.5333333333333333"
2,34,-1,"1,0.4,0.6666666666666666"
2,35,-1,"1,0.35,0.3333333333333333"
2,36,0,"0,0.4444444444444444,0.8036211699164345"
2,37,1,"0,0.2222222222222222,0.11420612813370473"
2,38,2,"0,0.1111111111111111,0.1935933147632312"
3,39,-1,"1,0.0,0.0"
3,40,-1,"1,0.65,0.4666666666666667"
3,41,-1,"1,0.55,0.8666666666666667"
3,42,-1,"1,0.6,0.06666666666666667"
3,43,-1,"1,0.25,1.0"
3,44,-1,"1,0.7,0.4666666666666667"
3,45,-1,"1,0.95,0.06666666666666667"
3,46,-1,"1,1.0,0.2"
3,47,-1,"1,0.0,1.0"
3,48,-1,"1,0.0,1.0"
3,49,0,"0,0.8888888888888888,0.8133704735376045"
3,50,1,"0,0.5555555555555556,0.5793871866295265"
3,51,2,"0,1.0,0.6002785515320335"
4,52,-1,"1,0.15,0.4666666666666667"
4,53,-1,"1,0.95,0.4666666666666667"
4,54,-1,"1,0.25,0.0"
4,55,-1,"1,0.55,0.26666666666666666"
4,56,-1,"1,0.45,0.8666666666666667"
4,57,-1,"1,0.15,0.06666666666666667"
4,58,-1,"1,0.35,1.0"
4,59,-1,"1,0.05,0.4666666666666667"
4,60,-1,"1,1.0,0.4"
4,61,-1,"1,0.8,0.5333333333333333"
4,62,0,"0,0.3333333333333333,0.6928969359331476"
4,63,1,"0,0.6666666666666666,0.22562674094707522"
4,64,2,"0,0.1111111111111111,0.7075208913649025"
5,65,-1,"1,0.9,0.6"
5,66,-1,"1,0.8,0.8666666666666667"
5,67,-1,"1,0.65,1.0"
5,68,-1,"1,0.3,0.4"
5,69,-1,"1,0.45,0.4"
5,70,-1,"1,0.8,0.6666666666666666"
5,71,-1,"1,0.45,0.8"
5,72,-1,"1,0.3,0.9333333333333333"
5,73,-1,"1,0.9,0.2"
5,74,-1,"1,0.15,0.5333333333333333"
5,75,0,"0,0.7777777777777778,0.6782729805013927"
5,76,1,"0,0.8888888888888888,0.16991643454038996"
5,77,2,"0,0.4444444444444444,0.8760445682451253"
6,78,-1,"1,0.2,0.13333333333333333"
6,79,-1,"1,0.25,0.6"
6,80,-1,"1,0.8,0.2"
6,81,-1,"1,0.2,0.3333333333333333"
6,82,-1,"1,0.9,0.5333333333333333"
6,83,-1,"1,1.0,0.4"
6,84,-1,"1,0.4,0.8"
6,85,-1,"1,0.85,0.26666666666666666"
6,86,-1,"1,0.45,0.0"
6,87,-1,"1,0.1,0.7333333333333333"
6,88,0,"0,0.5555555555555556,0.21030640668523676"
6,89,1,"0,1.0,0.4700557103064067"
6,90,2,"0,0.5555555555555556,0.023676880222841225"
7,91,-1,"1,0.45,0.9333333333333333"
7,92,-1,"1,0.9,0.6666666666666666"
7,93,-1,"1,0.95,0.6"
7,94,-1,"1,0.85,0.2"
7,95,-1,"1,1.0,0.8666666666666667"
7,96,-1,"1,0.65,0.6666666666666666"
7,97,-1,"1,0.1,0.3333333333333333"
7,98,-1,"1,0.9,0.4"
7,99,-1,"1,1.0,0.4"
7,100,-1,"1,0.65,0.06666666666666667"
7,101,0,"0,0.2222222222222222,0.8488857938718662"
7,102,1,"0,0.4444444444444444,0.9025069637883009"
7,103,2,"0,1.0,0.4220055710306407"
8,104,-1,"1,0.75,1.0"
8,105,-1,"1,0.3,0.26666666666666666"
8,106,-1,"1,0.7,0.6"
8,107,-1,"1,0.6,0.8"
8,108,-1,"1,0.2,0.4"
8,109,-1,"1,0.65,0.8"
8,110,-1,"1,0.95,0.4"
8,111,-1,"1,0.8,0.06666666666666667"
8,112,-1,"1,0.55,0.8666666666666667"
8,113,-1,"1,1.0,0.6"
8,114,0,"0,1.0,0.9651810584958217"
8,115,1,"0,0.1111111111111111,0.4115598885793872"
8,116,2,"0,0.6666666666666666,0.07103064066852367"
9,117,-1,"1,0.5,0.5333333333333333"
9,118,-1,"1,0.05,0.6666666666666666"
9,119,-1,"1,0.15,0.9333333333333333"
9,120,-1,"1,0.55,0.7333333333333333"
9,121,-1,"1,0.95,0.4666666666666667"
9,122,-1,"1,0.1,0.6"
9,123,-1,"1,0.1,0.06666666666666667"
9,124,-1,"1,0.85,0.6"
9,125,-1,"1,0.5,0.5333333333333333"
9,126,-1,"1,0.85,0.5333333333333333"
9,127,0,"0,0.0,0.8147632311977716"
9,128,1,"0,0.7777777777777778,0.6594707520891365"
9,129,2,"0,0.1111111111111111,0.13649025069637882"
10,130,-1,"1,0.4,0.3333333333333333"
10,131,-1,"1,0.75,0.3333333333333333"
10,132,-1,"1,0.15,0.0"
10,133,-1,"1,0.5,0.4666666666666667"
10,134,-1,"1,0.35,0.0"
10,135,-1,"1,0.95,0.8"
10,136,-1,"1,0.5,0.0"
10,137,-1,"1,0.5,0.6666666666666666"
10,138,-1,"1,0.4,0.6"
10,139,-1,"1,0.25,0.2"
10,140,0,"0,0.8888888888888888,0.24582172701949861"
10,141,1,"0,0.4444444444444444,0.009052924791086351"
10,142,2,"0,0.1111111111111111,0.2646239554317549"
11,143,-1,"1,0.05,1.0"
11,144,-1,"1,0.8,0.2"
11,145,-1,"1,0.15,0.4"
11,146,-1,"1,0.25,0.6"
11,147,-1,"1,0.75,0.26666666666666666"
11,148,-1,"1,0.1,0.4666666666666667"
11,149,-1,"1,0.55,0.8666666666666667"
11,150,-1,"1,0.05,0.7333333333333333"
11,151,-1,"1,0.05,0.8666666666666667"
11,152,-1,"1,0.4,0.6666666666666666"
11,153,0,"0,0.6666666666666666,0.4596100278551532"
11,154,1,"0,0.3333333333333333,0.32381615598885793"
11,155,2,"0,0.2222222222222222,0.07033426183844012"
12,156,-1,"1,0.95,1.0"
12,157,-1,"1,0.8,0.8666666666666667"
12,158,-1,"1,0.8,0.6"
12,159,-1,"1,0.2,0.8666666666666667"
12,160,-1,"1,0.35,0.6666666666666666"
12,161,-1,"1,0.9,0.06666666666666667"
12,162,-1,"1,0.9,0.5333333333333333"
12,163,-1,"1,0.8,0.13333333333333333"
12,164,-1,"1,0.1,0.26666666666666666"
12,165,-1,"1,0.25,0.3333333333333333"
12,166,0,"0,0.0,0.729108635097493"
12,167,1,"0,0.5555555555555556,0.052924791086350974"
12,168,2,"0,0.4444444444444444,0.116991643454039"
13,169,-1,"1,0.35,0.26666666666666666"
13,170,-1,"1,0.6,0.6666666666666666"
13,171,-1,"1,0.75,0.6666666666666666"
13,172,-1,"1,0.2,0.4"
13,173,-1,"1,0.95,1.0"
13,174,-1,"1,0.35,0.6"
13,175,-1,"1,1.0,0.3333333333333333"
13,176,-1,"1,0.55,0.8666666666666667"
13,177,-1,"1,0.3,0.4"
13,178,-1,"1,0.2,0.9333333333333333"
13,179,0,"0,0.7777777777777778,0.23328690807799443"
13,180,1,"0,0.3333333333333333,0.6483286908077994"
13,181,2,"0,0.8888888888888888,0.4052924791086351"
14,182,-1,"1,0.0,0.26666666666666666"
14,183,-1,"1,0.45,0.13333333333333333"
14,184,-1,"1,0.45,0.5333333333333333"
14,185,-1,"1,0.7,0.6666666666666666"
14,186,-1,"1,0.35,0.6666666666666666"
14,187,-1,"1,0.95,0.6666666666666666"
14,188,-1,"1,0.5,0.3333333333333333"
14,189,-1,"1,0.1,0.8"
14,190,-1,"1,0.05,0.26666666666666666"
