graph_id,label
0,"414.58667,132.44652,523.0295,-1,-1,-1,-1"
1,"515.4265,593.9282,1849.7628,-1,-1,-1,-1"
2,"229.97511,430.65665,706.48816,-1,-1,-1,-1"
3,"429.52533,293.2024,3340.236,-1,-1,-1,-1"
4,"279.46613,279.59323,216.98906,-1,-1,-1,-1"
5,"779.7082,405.55734,156.31187,-1,-1,-1,-1"
6,"230.77795,886.3135,273.04895,-1,-1,-1,-1"
7,"447.5608,674.48883,350.94153,-1,-1,-1,-1"
8,"811.4056,291.63162,601.6056,-1,-1,-1,-1"
9,"1357.6449,566.485,478.75992,-1,-1,-1,-1"
10,"304.13275,241.04163,3529.957,-1,-1,-1,-1"
11,"140.55025,359.11746,367.49185,-1,-1,-1,-1"
12,"686.13745,11372.319,518.3971,-1,-1,-1,-1"
13,"222.8708,363.16287,145.64476,-1,-1,-1,-1"
14,"232.53363,1442.9946,147.53497,-1,-1,-1,-1"
15,"1981.643,416.87213,527.867,-1,-1,-1,-1"
16,"184.95937,166.8375,108.151115,-1,-1,-1,-1"
17,"1964.5902,680.57385,748.14154,-1,-1,-1,-1"
18,"1862.7118,3825.712,256.9862,-1,-1,-1,-1"
19,"349.1106,793.4714,1251.9031,-1,-1,-1,-1"
20,"2988.0256,152.64494,797.3949,-1,-1,-1,-1"
21,"884.69556,539.3243,541.7889,-1,-1,-1,-1"
22,"1256.9438,666.5601,1566.376,-1,-1,-1,-1"
23,"1353.6517,1823.7012,287.18784,-1,-1,-1,-1"
24,"2529.9937,259.78632,424.01816,-1,-1,-1,-1"
25,"198.60408,1606.9999,419.01923,-1,-1,-1,-1"
26,"812.2248,818.60974,182.55104,-1,-1,-1,-1"
27,"508.82013,3595.581,66.649574,-1,-1,-1,-1"
28,"952.82263,1545.1993,360.96173,-1,-1,-1,-1"
29,"2892.0444,1151.8165,1197.9745,-1,-1,-1,-1"
30,"141.5528,811.6677,300.34042,-1,-1,-1,-1"
31,"1092.7482,130.78545,1397.18,-1,-1,-1,-1"
32,"118.50198,602.0324,246.66225,-1,-1,-1,-1"
33,"239.04272,3163.2092,447.8798,-1,-1,-1,-1"
34,"362.13336,821.03723,229.18097,-1,-1,-1,-1"
35,"321.6178,227.53638,156.45021,-1,-1,-1,-1"
