graph_id,node_id,label,feat
0,0,-1,"1,0.0,0.3333333333333333"
0,1,-1,"1,0.05,0.3333333333333333"
0,2,-1,"1,0.4,0.8"
0,3,-1,"1,0.7,0.4"
0,4,-1,"1,0.7,0.9333333333333333"
0,5,-1,"1,1.0,0.8666666666666667"
0,6,-1,"1,0.25,0.7333333333333333"
0,7,-1,"1,0.45,0.4666666666666667"
0,8,-1,"1,0.65,0.8"
0,9,-1,"1,0.65,0.2"
0,10,0,"0,0.5555555555555556,0.09331476323119778"
0,11,1,"0,1.0,0.2876044568245125"
0,12,2,"0,0.8888888888888888,0.9449860724233984"
1,13,-1,"1,0.25,0.5333333333333333"
1,14,-1,"1,0.2,0.7333333333333333"
1,15,-1,"1,0.0,0.8666666666666667"
1,16,-1,"1,0.95,0.0"
1,17,-1,"1,0.8,0.8"
1,18,-1,"1,0.55,0.0"
1,19,-1,"1,0.1,0.13333333333333333"
1,20,-1,"1,0.6,0.6"
1,21,-1,"1,0.55,0.6666666666666666"
1,22,-1,"1,0.05,0.6"
1,23,0,"0,0.3333333333333333,0.6601671309192201"
1,24,1,"0,0.1111111111111111,0.0807799442896936"
1,25,2,"0,0.2222222222222222,0.8690807799442897"
2,26,-1,"1,0.25,0.8666666666666667"
2,27,-1,"1,0.8,0.6666666666666666"
2,28,-1,"1,0.25,0.8666666666666667"
2,29,-1,"1,0.5,0.9333333333333333"
2,30,-1,"1,0.1,1.0"
2,31,-1,"1,0.2,0.4666666666666667"
2,32,-1,"1,0.05,0.0"
2,33,-1,"1,0.9,0.4"
2,34,-1,"1,0.35,0.9333333333333333"
2,35,-1,"1,0.85,0.13333333333333333"
2,36,0,"0,0.5555555555555556,0.2395543175487465"
2,37,1,"0,0.8888888888888888,0.3064066852367688"
2,38,2,"0,0.7777777777777778,0.8440111420612814"
3,39,-1,"1,0.95,0.6"
3,40,-1,"1,0.75,0.7333333333333333"
3,41,-1,"1,0.55,0.2"
3,42,-1,"1,0.25,1.0"
3,43,-1,"1,0.8,0.8"
3,44,-1,"1,0.65,0.0"
3,45,-1,"1,0.7,0.5333333333333333"
3,46,-1,"1,0.2,0.5333333333333333"
3,47,-1,"1,0.35,0.13333333333333333"
3,48,-1,"1,1.0,0.8"
3,49,0,"0,1.0,0.5954038997214485"
3,50,1,"0,0.6666666666666666,0.5884401114206128"
3,51,2,"0,0.0,0.26880222841225626"
4,52,-1,"1,0.45,0.4666666666666667"
4,53,-1,"1,0.1,0.5333333333333333"
4,54,-1,"1,0.35,0.4666666666666667"
4,55,-1,"1,0.45,0.13333333333333333"
4,56,-1,"1,0.45,0.8"
4,57,-1,"1,1.0,0.0"
4,58,-1,"1,0.2,0.3333333333333333"
4,59,-1,"1,0.8,0.13333333333333333"
4,60,-1,"1,0.0,0.4666666666666667"
4,61,-1,"1,0.45,1.0"
4,62,0,"0,0.2222222222222222,0.004178272980501393"
4,63,1,"0,0.8888888888888888,0.16364902506963788"
4,64,2,"0,0.8888888888888888,0.5403899721448467"
5,65,-1,"1,0.6,0.6"
5,66,-1,"1,0.75,0.7333333333333333"
5,67,-1,"1,0.75,0.13333333333333333"
5,68,-1,"1,0.55,0.9333333333333333"
5,69,-1,"1,0.85,0.13333333333333333"
5,70,-1,"1,0.0,0.6"
5,71,-1,"1,1.0,0.8"
5,72,-1,"1,0.1,0.4666666666666667"
5,73,-1,"1,0.65,0.26666666666666666"
5,74,-1,"1,0.0,0.8666666666666667"
5,75,0,"0,0.4444444444444444,0.4415041782729805"
5,76,1,"0,0.5555555555555556,0.7388579387186629"
5,77,2,"0,0.8888888888888888,0.38857938718662954"
6,78,-1,"1,0.8,0.4666666666666667"
6,79,-1,"1,0.2,0.13333333333333333"
6,80,-1,"1,0.65,0.3333333333333333"
6,81,-1,"1,0.7,0.06666666666666667"
6,82,-1,"1,0.35,0.06666666666666667"
6,83,-1,"1,0.6,0.13333333333333333"
6,84,-1,"1,0.7,0.13333333333333333"
6,85,-1,"1,0.8,0.4666666666666667"
6,86,-1,"1,0.65,0.8666666666666667"
6,87,-1,"1,0.15,0.4"
6,88,0,"0,0.1111111111111111,0.05013927576601671"
6,89,1,"0,0.4444444444444444,0.91991643454039"
6,90,2,"0,0.8888888888888888,0.22353760445682452"
7,91,-1,"1,0.25,0.8666666666666667"
7,92,-1,"1,0.3,0.06666666666666667"
7,93,-1,"1,0.8,0.26666666666666666"
7,94,-1,"1,0.3,0.6666666666666666"
7,95,-1,"1,1.0,0.6666666666666666"
7,96,-1,"1,0.65,0.4666666666666667"
7,97,-1,"1,0.35,0.06666666666666667"
7,98,-1,"1,0.1,0.8666666666666667"
7,99,-1,"1,0.8,0.8"
7,100,-1,"1,0.8,0.8"
7,101,0,"0,0.5555555555555556,0.1149025069637883"
7,102,1,"0,0.5555555555555556,0.5856545961002786"
7,103,2,"0,0.7777777777777778,0.8384401114206128"
8,104,-1,"1,0.05,1.0"
8,105,-1,"1,0.0,0.2"
8,106,-1,"1,0.55,0.4"
8,107,-1,"1,0.0,0.4666666666666667"
8,108,-1,"1,0.65,0.13333333333333333"
8,109,-1,"1,0.95,1.0"
8,110,-1,"1,0.2,0.26666666666666666"
8,111,-1,"1,0.75,1.0"
8,112,-1,"1,0.45,0.4666666666666667"
8,113,-1,"1,0.5,0.0"
8,114,0,"0,1.0,0.5682451253481894"
8,115,1,"0,1.0,0.3635097493036212"
8,116,2,"0,0.3333333333333333,0.26114206128133705"
9,117,-1,"1,0.45,1.0"
9,118,-1,"1,0.6,0.8666666666666667"
9,119,-1,"1,0.0,0.26666666666666666"
9,120,-1,"1,0.15,0.5333333333333333"
9,121,-1,"1,0.35,0.8666666666666667"
9,122,-1,"1,0.25,0.8"
9,123,-1,"1,0.75,0.8666666666666667"
9,124,-1,"1,0.5,0.0"
9,125,-1,"1,0.25,0.5333333333333333"
9,126,-1,"1,0.75,0.8"
9,127,0,"0,0.7777777777777778,0.963091922005571"
9,128,1,"0,0.4444444444444444,0.9136490250696379"
9,129,2,"0,0.6666666666666666,0.665041782729805"
10,130,-1,"1,0.65,0.8666666666666667"
10,131,-1,"1,0.4,0.8666666666666667"
10,132,-1,"1,0.25,0.13333333333333333"
10,133,-1,"1,0.05,0.4"
10,134,-1,"1,0.15,0.6"
10,135,-1,"1,0.4,0.6"
10,136,-1,"1,0.15,0.5333333333333333"
10,137,-1,"1,0.9,0.13333333333333333"
10,138,-1,"1,0.1,0.26666666666666666"
10,139,-1,"1,1.0,0.8666666666666667"
10,140,0,"0,0.2222222222222222,0.13579387186629527"
10,141,1,"0,0.8888888888888888,0.18384401114206128"
10,142,2,"0,0.1111111111111111,0.9004178272980501"
11,143,-1,"1,0.35,0.5333333333333333"
11,144,-1,"1,1.0,0.5333333333333333"
11,145,-1,"1,0.85,0.6666666666666666"
11,146,-1,"1,0.95,0.6"
11,147,-1,"1,0.55,0.7333333333333333"
11,148,-1,"1,0.55,1.0"
11,149,-1,"1,0.1,0.8"
11,150,-1,"1,0.55,1.0"
11,151,-1,"1,0.25,1.0"
11,152,-1,"1,0.4,0.6"
11,153,0,"0,0.6666666666666666,0.006963788300835654"
11,154,1,"0,0.6666666666666666,0.7632311977715878"
11,155,2,"0,0.6666666666666666,0.31754874651810583"
12,156,-1,"1,0.15,0.9333333333333333"
12,157,-1,"1,0.4,0.13333333333333333"
12,158,-1,"1,0.7,0.6666666666666666"
12,159,-1,"1,0.2,0.8"
12,160,-1,"1,0.2,0.2"
12,161,-1,"1,0.6,0.4666666666666667"
12,162,-1,"1,0.0,0.8666666666666667"
12,163,-1,"1,0.05,0.7333333333333333"
12,164,-1,"1,0.05,0.0"
12,165,-1,"1,0.45,0.8666666666666667"
12,166,0,"0,0.4444444444444444,0.6928969359331476"
12,167,1,"0,0.0,0.8614206128133705"
12,168,2,"0,0.6666666666666666,0.5125348189415042"
13,169,-1,"1,0.0,0.8"
13,170,-1,"1,0.4,0.3333333333333333"
13,171,-1,"1,0.6,0.3333333333333333"
13,172,-1,"1,0.0,0.7333333333333333"
13,173,-1,"1,1.0,0.9333333333333333"
13,174,-1,"1,0.95,0.8666666666666667"
13,175,-1,"1,0.55,0.8666666666666667"
13,176,-1,"1,1.0,1.0"
13,177,-1,"1,0.35,0.6"
13,178,-1,"1,0.85,0.8666666666666667"
13,179,0,"0,0.6666666666666666,0.43175487465181056"
13,180,1,"0,0.3333333333333333,0.2590529247910863"
13,181,2,"0,0.7777777777777778,0.14275766016713093"
14,182,-1,"1,0.75,0.2"
14,183,-1,"1,0.9,0.2"
14,184,-1,"1,0.9,0.8666666666666667"
14,185,-1,"1,0.55,0.9333333333333333"
14,186,-1,"1,0.55,0.4"
14,187,-1,"1,1.0,0.06666666666666667"
14,188,-1,"1,0.85,0.7333333333333333"
14,189,-1,"1,0.2,0.8666666666666667"
14,190,-1,"1,0.5,0.9333333333333333"
14,191,-1,"1,0.45,0.3333333333333333"
14,192,0,"0,0.5555555555555556,0.13509749303621169"
14,193,1,"0,0.1111111111111111,0.6016713091922006"
14,194,2,"0,1.0,0.37952646239554316"
15,195,-1,"1,0.8,0.3333333333333333"
15,196,-1,"1,0.8,0.5333333333333333"
15,197,-1,"1,0.2,0.26666666666666666"
15,198,-1,"1,0.0,0.2"
15,199,-1,"1,0.65,0.4"
15,200,-1,"1,0.25,0.4"
15,201,-1,"1,0.9,0.3333333333333333"
15,202,-1,"1,0.1,0.9333333333333333"
15,203,-1,"1,1.0,0.4666666666666667"
15,204,-1,"1,0.0,0.9333333333333333"
15,205,0,"0,0.1111111111111111,0.6344011142061281"
15,206,1,"0,0.5555555555555556,0.7688022284122563"
15,207,2,"0,0.5555555555555556,0.35236768802228413"
16,208,-1,"1,0.65,0.4666666666666667"
16,209,-1,"1,0.2,0.06666666666666667"
16,210,-1,"1,0.35,0.26666666666666666"
16,211,-1,"1,0.45,0.6"
16,212,-1,"1,0.05,0.6"
16,213,-1,"1,0.6,0.7333333333333333"
16,214,-1,"1,0.35,0.13333333333333333"
16,215,-1,"1,0.05,0.8666666666666667"
16,216,-1,"1,0.75,0.6"
16,217,-1,"1,0.85,0.7333333333333333"
16,218,0,"0,0.7777777777777778,0.08983286908077995"
16,219,1,"0,1.0,0.07799442896935933"
16,220,2,"0,1.0,0.0584958217270195"
17,221,-1,"1,0.0,1.0"
17,222,-1,"1,0.95,0.06666666666666667"
17,223,-1,"1,0.4,0.6666666666666666"
17,224,-1,"1,0.35,0.3333333333333333"
17,225,-1,"1,0.95,0.13333333333333333"
17,226,-1,"1,0.3,1.0"
17,227,-1,"1,0.7,0.9333333333333333"
17,228,-1,"1,0.0,0.7333333333333333"
17,229,-1,"1,0.5,0.4"
17,230,-1,"1,0.25,0.13333333333333333"
17,231,0,"0,0.0,0.4129526462395543"
17,232,1,"0,0.4444444444444444,0.692200557103064"
17,233,2,"0,0.5555555555555556,0.9505571030640668"
18,234,-1,"1,0.45,0.13333333333333333"
18,235,-1,"1,0.75,0.4"
18,236,-1,"1,0.0,0.8666666666666667"
18,237,-1,"1,0.3,0.4666666666666667"
18,238,-1,"1,0.9,0.6666666666666666"
18,239,-1,"1,0.6,0.9333333333333333"
18,240,-1,"1,0.95,0.0"
18,241,-1,"1,0.8,1.0"
18,242,-1,"1,0.75,0.26666666666666666"
18,243,-1,"1,0.9,0.3333333333333333"
18,244,0,"0,0.3333333333333333,0.6316155988857939"
18,245,1,"0,0.0,0.8091922005571031"
18,246,2,"0,0.6666666666666666,0.1511142061281337"
19,247,-1,"1,0.55,0.6"
19,248,-1,"1,0.3,0.6666666666666666"
19,249,-1,"1,0.15,0.6666666666666666"
19,250,-1,"1,0.0,0.7333333333333333"
19,251,-1,"1,1.0,0.0"
19,252,-1,"1,0.45,0.6"
19,253,-1,"1,0.3,0.26666666666666666"
19,254,-1,"1,0.95,0.13333333333333333"
19,255,-1,"1,0.0,0.6"
19,256,-1,"1,0.15,0.5333333333333333"
19,257,0,"0,0.4444444444444444,0.10793871866295264"
19,258,1,"0,0.1111111111111111,0.30779944289693595"
19,259,2,"0,0.6666666666666666,0.9045961002785515"
20,260,-1,"1,0.65,0.06666666666666667"
20,261,-1,"1,0.2,0.5333333333333333"
20,262,-1,"1,0.25,0.6"
20,263,-1,"1,0.7,0.8"
20,264,-1,"1,0.7,0.13333333333333333"
20,265,-1,"1,0.8,0.2"
20,266,-1,"1,0.4,0.3333333333333333"
20,267,-1,"1,0.55,0.2"
20,268,-1,"1,0.25,0.8666666666666667"
20,269,-1,"1,0.6,0.26666666666666666"
20,270,0,"0,0.1111111111111111,0.9784122562674095"
20,271,1,"0,0.8888888888888888,0.18384401114206128"
20,272,2,"0,0.5555555555555556,0.3502785515320334"
21,273,-1,"1,0.75,0.3333333333333333"
21,274,-1,"1,0.0,0.4"
21,275,-1,"1,1.0,0.4666666666666667"
21,276,-1,"1,0.45,0.7333333333333333"
21,277,-1,"1,0.15,0.2"
21,278,-1,"1,0.1,0.2"
21,279,-1,"1,0.8,0.06666666666666667"
21,280,-1,"1,0.35,0.06666666666666667"
21,281,-1,"1,0.3,0.5333333333333333"
21,282,-1,"1,0.9,0.26666666666666666"
21,283,0,"0,1.0,0.6246518105849582"
21,284,1,"0,0.2222222222222222,0.3008356545961003"
21,285,2,"0,1.0,0.6427576601671309"
22,286,-1,"1,0.75,0.8666666666666667"
22,287,-1,"1,0.95,0.4"
22,288,-1,"1,1.0,0.2"
22,289,-1,"1,0.6,0.8"
22,290,-1,"1,0.85,0.6"
22,291,-1,"1,0.1,0.2"
22,292,-1,"1,0.1,0.2"
22,293,-1,"1,0.55,0.06666666666666667"
22,294,-1,"1,0.95,0.4666666666666667"
22,295,-1,"1,0.0,0.4666666666666667"
22,296,0,"0,0.0,0.24651810584958217"
22,297,1,"0,0.2222222222222222,0.6190807799442897"
22,298,2,"0,0.2222222222222222,0.557799442896936"
23,299,-1,"1,0.4,0.4"
23,300,-1,"1,0.25,0.2"
23,301,-1,"1,0.45,0.26666666666666666"
23,302,-1,"1,0.55,0.6"
23,303,-1,"1,0.45,0.26666666666666666"
23,304,-1,"1,0.35,0.06666666666666667"
23,305,-1,"1,0.55,1.0"
23,306,-1,"1,0.7,0.7333333333333333"
23,307,-1,"1,0.95,0.5333333333333333"
23,308,-1,"1,0.65,0.3333333333333333"
23,309,0,"0,0.5555555555555556,0.5710306406685237"
23,310,1,"0,0.2222222222222222,0.8495821727019499"
23,311,2,"0,0.6666666666666666,0.5988857938718662"
24,312,-1,"1,0.5,0.7333333333333333"
24,313,-1,"1,0.1,0.6"
24,314,-1,"1,0.55,0.06666666666666667"
24,315,-1,"1,0.25,0.8"
24,316,-1,"1,0.95,0.7333333333333333"
24,317,-1,"1,0.2,0.8666666666666667"
24,318,-1,"1,0.55,0.2"
24,319,-1,"1,0.0,0.8666666666666667"
24,320,-1,"1,0.1,0.13333333333333333"
24,321,-1,"1,0.65,0.5333333333333333"
24,322,0,"0,0.0,0.8064066852367688"
24,323,1,"0,0.3333333333333333,0.27715877437325903"
24,324,2,"0,0.4444444444444444,0.14832869080779945"
25,325,-1,"1,0.25,0.06666666666666667"
25,326,-1,"1,0.55,0.4"
25,327,-1,"1,0.05,0.06666666666666667"
25,328,-1,"1,0.1,0.4666666666666667"
25,329,-1,"1,0.9,0.13333333333333333"
25,330,-1,"1,0.2,0.6666666666666666"
25,331,-1,"1,1.0,0.06666666666666667"
25,332,-1,"1,0.9,0.7333333333333333"
25,333,-1,"1,0.55,1.0"
25,334,-1,"1,0.35,0.4"
25,335,0,"0,0.7777777777777778,0.10724233983286909"
25,336,1,"0,0.4444444444444444,0.8405292479108635"
25,337,2,"0,0.6666666666666666,0.2889972144846797"
26,338,-1,"1,0.1,0.8666666666666667"
26,339,-1,"1,0.7,0.13333333333333333"
26,340,-1,"1,0.75,0.9333333333333333"
26,341,-1,"1,0.55,0.4666666666666667"
26,342,-1,"1,0.35,0.3333333333333333"
26,343,-1,"1,0.55,0.3333333333333333"
26,344,-1,"1,0.5,0.8666666666666667"
26,345,-1,"1,0.85,0.6"
26,346,-1,"1,0.0,0.4666666666666667"
