graph_id,0,1,2,3,4,5,6
0,854.4617,1775.2446,155.86366,-1.0,-1.0,-1.0,-1.0
1,424.65176,504.2948,867.73364,-1.0,-1.0,-1.0,-1.0
2,519.1222,177.27884,344.3994,-1.0,-1.0,-1.0,-1.0
3,303.5923,685.40546,222.09537,-1.0,-1.0,-1.0,-1.0
4,2689.4312,222.8126,5015.9053,-1.0,-1.0,-1.0,-1.0
5,87-1.03534,150.75343,1752.3839,-1.0,-1.0,-1.0,-1.0
6,293.61023,261.05368,121.440865,-1.0,-1.0,-1.0,-1.0
7,1293.0247,921.4664,239.25499,-1.0,-1.0,-1.0,-1.0
8,333.3607,1937.1805,75.16273,-1.0,-1.0,-1.0,-1.0
9,2540.3052,861.9556,304.1064,-1.0,-1.0,-1.0,-1.0
10,476.25378,139.1002,1907.6511,-1.0,-1.0,-1.0,-1.0
11,424.51434,446.86896,263.0926,-1.0,-1.0,-1.0,-1.0
12,2377.9043,146.41174,121.1517,-1.0,-1.0,-1.0,-1.0
13,371.38242,521.2739,502.80695,-1.0,-1.0,-1.0,-1.0
14,870.7383,276.93896,1438.2097,-1.0,-1.0,-1.0,-1.0
15,647.55963,466.47122,268.29504,-1.0,-1.0,-1.0,-1.0
16,546.8392,264.07678,74.48713,-1.0,-1.0,-1.0,-1.0
17,1498.8318,841.8158,1064.7478,-1.0,-1.0,-1.0,-1.0
18,996.3458,389.19864,2022.8568,-1.0,-1.0,-1.0,-1.0
19,335.34595,1330.4197,289.59695,-1.0,-1.0,-1.0,-1.0
20,832.76953,309.2697,1232.2234,-1.0,-1.0,-1.0,-1.0
21,1588.9484,244.40962,301.05777,-1.0,-1.0,-1.0,-1.0
22,756.603,693.26587,219.39832,-1.0,-1.0,-1.0,-1.0
23,267.0049,142.47386,1368.1621,-1.0,-1.0,-1.0,-1.0
24,1751.4805,6164.192,1693.6815,-1.0,-1.0,-1.0,-1.0
25,896.9883,518.19946,192.5731,-1.0,-1.0,-1.0,-1.0
26,1014.4556,304.87946,1049.5096,-1.0,-1.0,-1.0,-1.0
27,1145.4792,445.2075,1084.5344,-1.0,-1.0,-1.0,-1.0
28,149.20546,523.54987,414.73306,-1.0,-1.0,-1.0,-1.0
29,350.71237,948.5865,545-1.0557,-1.0,-1.0,-1.0,-1.0
30,419.5873,600.5429,151.88525,-1.0,-1.0,-1.0,-1.0
31,1183.2378,221.93759,279.5065,-1.0,-1.0,-1.0,-1.0
32,544.3901,362.19315,4197.47,-1.0,-1.0,-1.0,-1.0
33,464.6968,1516.5442,738.6037,-1.0,-1.0,-1.0,-1.0
34,686.4193,80-1.0509,948.5592,-1.0,-1.0,-1.0,-1.0
35,345.27136,306.80453,797.3603,-1.0,-1.0,-1.0,-1.0
36,2837.6992,996.2989,877.13715,-1.0,-1.0,-1.0,-1.0
